,date,comments,likes,text
37,03/10/2021,43,9767,"Австралийский миллиардер Майк Кэннон-Брукс сразу после окончания учебы вместе с приятелем основал компанию Atlassian. Первым ее продуктом стала программа для отслеживания ошибок разработчиков Jira. Позже они создали облачный сервис для работы в командах Trello и корпоративный мессенджер HipChat.
⠀
Также Майк Кэннон-Брукс известен благодаря спору с Илоном Маском, когда основатель Tesla пообещал за 100 дней решить энергетический кризис в Южной Австралии с помощью аккумуляторной станции.
⠀
«Тогда все и началось, — вспоминает Кэннон-Брукс. — Всем крупным СМИ страны тут же потребовалось мое «экспертное мнение» о ситуации. Но не стоит забывать, что когда я отвечал Илону, то я не мог сказать, чем отличаются батарейки в игрушках моих детей от огромного аккумулятора мощностью 100 МВт».
⠀
Как миллиардер справился с «синдромом самозванца», когда внешнее финансирование действительно может пригодиться — читайте в подборке высказываний основателя Atlassian по ссылке в шапке профиля"
38,02/10/2021,90,4820,"Джеффу Безосу покорился американский бизнес, электронная коммерция, а летом 2021 года — еще и космос. Какие книги сформировали его мировоззрение и повлияли на его бизнес — в подборке РБК Трендов
⠀
#рбк #rbc #рбк_тренды"
39,01/10/2021,199,3812,"На слушаниях в Окружном суде Северной Калифорнии были раскрыты условия мирового соглашения между основателем группы TCS (владеет Тинькофф Банком, «Тинькофф Страхованием» и другими активами холдинга) Олегом Тиньковым и Министерством юстиции США. Сумма штрафа для Олега Тинькова составит $506 млн, объявила представитель обвинения в ходе слушаний.

Она объяснила, что сумма соглашения сложилась следующим образом: $240 млн — это сумма налоговых потерь США от действий бизнесмена в 2013 году, а с учетом процентов и штрафов эта сумма возрастает до $448 млн. Кроме того, у Тинькова обнаружились дополнительные налоговые обязательства, которые уже были урегулированы.

Представитель Тинькова заявил, что бизнесмен не планирует сокращать пакет в TCS Group для выплаты штрафа. «Олег имеет достаточно средств, чтобы целиком выплатить штраф сейчас без необходимости продавать свои акции TCS», — сказал он

#РБК #рбк_новости #rbc #новости"
40,01/10/2021,318,3747,"Бывший президент Грузии Михаил Саакашвили задержан. Против него заведены уголовные дела и ему грозит несколько лет тюрьмы. Саакашвили сообщил, что вернулся на родину перед выборами, так как «решается вопрос спасения» страны

#РБК #рбк_новости #rbc #новости"
41,01/10/2021,18,2912,"Очень полезно разобраться, как устроен стендап. Он базируется на сторителлинге и шутках, и это именно то, что хорошо использовать и в деловом выступлении.
⠀
Точно так же помогает просмотр лекций TED. Хорошие примеры в данном случае — лекция о том, как делать презентации, а также выступления Реджи Вотса, Тайки Вайтити и Славы Полунина.
⠀
О креативных презентациях, которые вызывают овации, читайте в полной версии материала по ссылке в шапке профиля"
42,01/10/2021,77,11075,В этот день родился основатель американской авиастроительной компании Boeing
43,30/09/2021,153,2566,"Основатель Telegram Павел Дуров впервые пообщался с пользователями мессенджера, ответив на их вопросы о различных блокировках и будущем Telegram в России. Не обошлось без вопроса об отношении к коту Шлепе, одному из главных героев мемов 2020 и 2021 годов"
44,30/09/2021,39,4468,"Китайский гигант электронной коммерции Alibaba зарабатывает сотни миллиардов долларов в год. Его основатель — Джек Ма — построил успешную компанию несмотря на то, что в свое время не сразу смог поступить в вуз, а еще провалил кучу собеседований. РБК Тренды собрали малоизвестные факты из биографии бизнесмена

#РБК #рбк_новости #rbc #статья"
45,30/09/2021,301,5167,"Суд приговорил бывшего президента Франции Николя Саркози к одному году тюрьмы. Его признали виновным в нарушении закона при финансировании своей избирательной кампании в 2012 году.
⠀
Срок Саркози будет отбывать вне тюрьмы, при этом он будет обязан носить электронный браслет
⠀
#РБК #рбк_новости #rbc #новости"
46,29/09/2021,70,5908,"Самый богатый человек Японии Тадаси Янаи в молодости совсем не хотел работать. Но когда он впервые попробовал управлять магазином своего отца, ему настолько понравилось, что занялся бизнесом всерьез и создал бренд Uniqlo, который уступает лишь Zara и H&M.
⠀
«Я могу казаться успешным, но я совершил много ошибок», — признался Тадаси Янаи. Однако своими неудачами японский предприниматель гордится, потому что на этом опыте он учился вести бизнес.
⠀
Полную версию материала РБК Pro об основателе Uniqlo Тадаси Янаи — читайте по ссылке в шапке профиля"
47,29/09/2021,136,3140,"Снижение количества угонов страховые компании объяснили закрытыми границами. При этом представители отрасли спрогнозировали всплеск хищений в октябре. Какие автомобили находятся в зоне риска и откуда похищают чаще всего, ― читайте в карточках от @autonews.ru 

#РБК #рбк_новости #rbc #статья"
48,28/09/2021,101,2669,"Рассказываем, как будет выглядеть первый из восьми новых кампусов, которые построят в российских городах. Они станут центральными точками развития современной научно-образовательной среды и инновационной экономики.
⠀
Проект Межвузовского IT-Кампуса в Нижнем Новгороде выиграл федеральный правительственный грант. Концепцию кампуса разработало архитектурное бюро IQ, а девелопером выступит компания GloraХ.
⠀
Отличительной чертой стала его интеграция в городскую среду и ее развитие по принципу IT-кластера. Он будет включать в себя восемь функциональных зон: исследовательскую, жилую, образовательную, спортивную, предпринимательскую, культурно-досуговую, коммерческую и социальную.
⠀
Территория IT-Кампуса сложится как многослойная мультифункциональная структура с системами альтернативного общественного транспорта, инклюзивной средой, современными решениями для маломобильных групп, детскими садами 5-минутной доступности. Здесь возведут амфитеатры, лабораторные комплексы и коливинг из инновационных экоматериалов"
